city,year,weekofyear,total_cases
sj,2008,18,11
sj,2008,19,9
sj,2008,20,1
sj,2008,21,3
sj,2008,22,1
sj,2008,23,6
sj,2008,24,3
sj,2008,25,5
sj,2008,26,6
sj,2008,27,18
sj,2008,28,3
sj,2008,29,2
sj,2008,30,2
sj,2008,31,12
sj,2008,32,6
sj,2008,33,10
sj,2008,34,2
sj,2008,35,6
sj,2008,36,10
sj,2008,37,4
sj,2008,38,6
sj,2008,39,4
sj,2008,40,5
sj,2008,41,6
sj,2008,42,7
sj,2008,43,4
sj,2008,44,7
sj,2008,45,7
sj,2008,46,6
sj,2008,47,6
sj,2008,48,3
sj,2008,49,9
sj,2008,50,14
sj,2008,51,14
sj,2008,52,9
sj,2009,1,1
sj,2009,2,9
sj,2009,3,6
sj,2009,4,5
sj,2009,5,11
sj,2009,6,5
sj,2009,7,20
sj,2009,8,6
sj,2009,9,3
sj,2009,10,10
sj,2009,11,6
sj,2009,12,8
sj,2009,13,5
sj,2009,14,9
sj,2009,15,5
sj,2009,16,5
sj,2009,17,5
sj,2009,18,6
sj,2009,19,6
sj,2009,20,3
sj,2009,21,5
sj,2009,22,8
sj,2009,23,6
sj,2009,24,34
sj,2009,25,16
sj,2009,26,6
sj,2009,27,6
sj,2009,28,6
sj,2009,29,11
sj,2009,30,5
sj,2009,31,4
sj,2009,32,2
sj,2009,33,21
sj,2009,34,7
sj,2009,35,35
sj,2009,36,4
sj,2009,37,8
sj,2009,38,1
sj,2009,39,4
sj,2009,40,10
sj,2009,41,11
sj,2009,42,11
sj,2009,43,5
sj,2009,44,11
sj,2009,45,6
sj,2009,46,6
sj,2009,47,1
sj,2009,48,6
sj,2009,49,2
sj,2009,50,3
sj,2009,51,1
sj,2009,52,3
sj,2010,53,1
sj,2010,1,1
sj,2010,2,5
sj,2010,3,12
sj,2010,4,6
sj,2010,5,28
sj,2010,6,3
sj,2010,7,4
sj,2010,8,18
sj,2010,9,1
sj,2010,10,7
sj,2010,11,14
sj,2010,12,5
sj,2010,13,5
sj,2010,14,11
sj,2010,15,6
sj,2010,16,30
sj,2010,17,7
sj,2010,18,5
sj,2010,19,10
sj,2010,20,6
sj,2010,21,6
sj,2010,22,4
sj,2010,23,10
sj,2010,24,11
sj,2010,25,7
sj,2010,26,55
sj,2010,27,5
sj,2010,28,6
sj,2010,29,3
sj,2010,30,7
sj,2010,31,6
sj,2010,32,21
sj,2010,33,16
sj,2010,34,31
sj,2010,35,7
sj,2010,36,4
sj,2010,37,7
sj,2010,38,4
sj,2010,39,7
sj,2010,40,11
sj,2010,41,4
sj,2010,42,6
sj,2010,43,3
sj,2010,44,8
sj,2010,45,24
sj,2010,46,1
sj,2010,47,6
sj,2010,48,6
sj,2010,49,2
sj,2010,50,6
sj,2010,51,4
sj,2011,52,6
sj,2011,1,8
sj,2011,2,20
sj,2011,3,9
sj,2011,4,14
sj,2011,5,14
sj,2011,6,5
sj,2011,7,14
sj,2011,8,36
sj,2011,9,9
sj,2011,10,9
sj,2011,11,2
sj,2011,12,3
sj,2011,13,5
sj,2011,14,17
sj,2011,15,6
sj,2011,16,6
sj,2011,17,3
sj,2011,18,10
sj,2011,19,6
sj,2011,20,23
sj,2011,21,3
sj,2011,22,7
sj,2011,23,1
sj,2011,24,24
sj,2011,25,8
sj,2011,26,4
sj,2011,27,7
sj,2011,28,15
sj,2011,29,16
sj,2011,30,21
sj,2011,31,16
sj,2011,32,4
sj,2011,33,18
sj,2011,34,4
sj,2011,35,4
sj,2011,36,6
sj,2011,37,19
sj,2011,38,7
sj,2011,39,2
sj,2011,40,2
sj,2011,41,7
sj,2011,42,5
sj,2011,43,3
sj,2011,44,5
sj,2011,45,6
sj,2011,46,30
sj,2011,47,6
sj,2011,48,6
sj,2011,49,14
sj,2011,50,1
sj,2011,51,6
sj,2012,52,10
sj,2012,1,3
sj,2012,2,9
sj,2012,3,8
sj,2012,4,20
sj,2012,5,7
sj,2012,6,14
sj,2012,7,5
sj,2012,8,8
sj,2012,9,9
sj,2012,10,5
sj,2012,11,14
sj,2012,12,7
sj,2012,13,1
sj,2012,14,19
sj,2012,15,30
sj,2012,16,11
sj,2012,17,6
sj,2012,18,7
sj,2012,19,5
sj,2012,20,7
sj,2012,21,8
sj,2012,22,3
sj,2012,23,11
sj,2012,24,5
sj,2012,25,6
sj,2012,26,5
sj,2012,27,6
sj,2012,28,12
sj,2012,29,7
sj,2012,30,7
sj,2012,31,6
sj,2012,32,13
sj,2012,33,7
sj,2012,34,23
sj,2012,35,6
sj,2012,36,6
sj,2012,37,11
sj,2012,38,11
sj,2012,39,6
sj,2012,40,4
sj,2012,41,6
sj,2012,42,10
sj,2012,43,4
sj,2012,44,4
sj,2012,45,6
sj,2012,46,5
sj,2012,47,4
sj,2012,48,2
sj,2012,49,22
sj,2012,50,12
sj,2012,51,6
sj,2013,1,7
sj,2013,2,6
sj,2013,3,1
sj,2013,4,1
sj,2013,5,22
